,Total Population,Total Male,Total Female,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Native Hawaiian and Other Pacific Islander population,Some Other Race Population,GEO_ID,Census Tract
194,7969,3995,3974,4703,1052,185,2044,22,179,1400000,48453001839
195,5849,3206,2643,4615,552,100,288,21,534,1400000,48453002307
196,3224,1571,1653,2147,280,45,0,0,831,1400000,48453002310
197,2887,1437,1450,2747,62,57,165,0,37,1400000,48453001741
198,5203,2455,2748,3503,1199,87,97,5,414,1400000,48453002112
199,2906,1386,1520,2459,217,120,50,28,200,1400000,48453002106
200,4944,2926,2018,3577,777,89,159,8,639,1400000,48453002316
201,4124,1962,2162,4109,0,38,15,0,0,1400000,48453001604
202,15804,7652,8152,10775,1131,79,3848,9,446,1400000,48453001714
203,6176,3181,2995,5293,226,11,607,0,149,1400000,48453001718
204,7403,3412,3991,6483,591,165,479,39,119,1400000,48453001728
205,2328,1172,1156,2086,155,7,136,0,86,1400000,48453001745
206,5743,3194,2549,4897,661,131,202,25,114,1400000,48453001747
207,6880,3369,3511,6283,360,15,491,0,82,1400000,48453001748
208,5115,2433,2682,4393,70,2,692,0,108,1400000,48453001750
209,6970,4031,2939,4004,595,112,122,0,2428,1400000,48453001804
210,10374,4949,5425,5622,2125,264,1769,121,1074,1400000,48453001834
211,6723,3446,3277,4839,893,342,734,0,365,1400000,48453001857
212,6366,2756,3610,4314,1146,168,735,0,263,1400000,48453001862
213,17819,8337,9482,11863,3957,340,1455,72,969,1400000,48453001855
214,2260,1091,1169,1635,161,51,296,35,199,1400000,48453001859
215,21972,10749,11223,16303,3475,208,1723,60,861,1400000,48453001858
216,6244,2953,3291,5962,176,84,69,0,155,1400000,48453001779
217,3268,1589,1679,2690,451,125,150,0,97,1400000,48453001776
218,3449,1591,1858,2729,109,46,315,0,330,1400000,48453002425
